year,team1_Name,team2_Name,winningTeam,mapName,team1Score,team2Score,team1Agents,team2Agents,agentsPicked
2022,Ninjas In Pyjamas,ZETA DIVISION,ZETA DIVISION,Fracture,12,14,"Brimstone, Cypher, Jett, Kayo, Sage","Astra, Breach, Chamber, Raze, Viper","Cypher, Kayo, Sage, Brimstone, Jett, Raze, Chamber, Astra, Breach, Viper"
2022,G2 Esports,ZETA DIVISION,G2 Esports,Split,13,7,"Breach, Chamber, Omen, Raze, Sage","Astra, Raze, Sage, Skye, Viper","Sage, Omen, Raze, Chamber, Breach, Viper, Sage, Astra, Skye, Raze"
2022,G2 Esports,ZETA DIVISION,G2 Esports,Bind,13,10,"Chamber, Omen, Raze, Skye, Viper","Astra, Raze, Sage, Skye, Viper","Chamber, Skye, Omen, Raze, Viper, Raze, Sage, Viper, Astra, Skye"
2022,LOUD,Team Liquid,LOUD,Icebox,13,10,"Chamber, Jett, Sage, Sova, Viper","Jett, Killjoy, Sage, Sova, Viper","Jett, Sova, Viper, Sage, Chamber, Sova, Jett, Viper, Killjoy, Sage"
2022,LOUD,Team Liquid,Team Liquid,Haven,3,13,"Breach, Jett, Killjoy, Omen, Sova","Breach, Chamber, Jett, Omen, Skye","Jett, Sova, Omen, Breach, Killjoy, Jett, Chamber, Skye, Breach, Omen"
2022,LOUD,Team Liquid,LOUD,Ascent,13,10,"Jett, Kayo, Killjoy, Omen, Sova","Jett, Kayo, Killjoy, Omen, Sova","Sova, Jett, Omen, Killjoy, Kayo, Jett, Sova, Omen, Kayo, Killjoy"
2022,Paper Rex,DRX,Paper Rex,Haven,13,10,"Cypher, Jett, Omen, Reyna, Sova","Breach, Jett, Killjoy, Omen, Sova","Reyna, Cypher, Omen, Sova, Jett, Omen, Killjoy, Jett, Breach, Sova"
2022,Paper Rex,DRX,DRX,Bind,8,13,"Breach, Brimstone, Raze, Skye, Yoru","Astra, Raze, Sage, Skye, Viper","Breach, Brimstone, Skye, Yoru, Raze, Skye, Astra, Viper, Raze, Sage"
2022,Paper Rex,DRX,DRX,Ascent,8,13,"Jett, Kayo, Killjoy, Omen, Sova","Astra, Chamber, Jett, Skye, Sova","Killjoy, Sova, Jett, Omen, Kayo, Astra, Chamber, Sova, Jett, Skye"
2022,The Guard,OpTic Gaming,OpTic Gaming,Icebox,7,13,"Chamber, Jett, Omen, Sova, Viper","Chamber, Kayo, Sage, Sova, Viper","Jett, Chamber, Sova, Viper, Omen, Chamber, Viper, Kayo, Sova, Sage"
2022,The Guard,OpTic Gaming,The Guard,Haven,13,7,"Breach, Chamber, Jett, Omen, Skye","Chamber, Kayo, Neon, Omen, Skye","Jett, Chamber, Skye, Omen, Breach, Chamber, Kayo, Omen, Neon, Skye"
2022,The Guard,OpTic Gaming,OpTic Gaming,Fracture,11,13,"Breach, Brimstone, Chamber, Jett, Viper","Breach, Brimstone, Chamber, Kayo, Neon","Jett, Chamber, Viper, Brimstone, Breach, Breach, Brimstone, Neon, Chamber, Kayo"
2022,ZETA DIVISION,Team Liquid,ZETA DIVISION,Fracture,13,7,"Astra, Breach, Chamber, Raze, Viper","Breach, Brimstone, Chamber, Jett, Neon","Astra, Viper, Breach, Chamber, Raze, Chamber, Jett, Brimstone, Neon, Breach"
2022,ZETA DIVISION,Team Liquid,Team Liquid,Haven,4,13,"Astra, Breach, Jett, Killjoy, Skye","Breach, Chamber, Jett, Omen, Skye","Astra, Skye, Jett, Killjoy, Breach, Jett, Chamber, Skye, Omen, Breach"
2022,ZETA DIVISION,Team Liquid,ZETA DIVISION,Split,13,7,"Astra, Raze, Sage, Skye, Viper","Astra, Breach, Cypher, Raze, Sage","Sage, Astra, Skye, Raze, Viper, Cypher, Sage, Raze, Breach, Astra"
2022,Paper Rex,The Guard,Paper Rex,Haven,13,10,"Cypher, Jett, Omen, Reyna, Skye","Breach, Jett, Killjoy, Omen, Skye","Jett, Reyna, Cypher, Omen, Skye, Breach, Omen, Jett, Skye, Killjoy"
2022,Paper Rex,The Guard,Paper Rex,Split,13,8,"Cypher, Jett, Omen, Raze, Sage","Breach, Cypher, Omen, Raze, Sage","Jett, Raze, Omen, Cypher, Sage, Omen, Sage, Breach, Cypher, Raze"
2022,DRX,OpTic Gaming,DRX,Ascent,13,8,"Astra, Chamber, Jett, Skye, Sova","Jett, Kayo, Killjoy, Omen, Sova","Astra, Sova, Chamber, Jett, Skye, Jett, Omen, Killjoy, Sova, Kayo"
2022,DRX,OpTic Gaming,OpTic Gaming,Icebox,11,13,"Jett, Kayo, Sage, Sova, Viper","Chamber, Kayo, Sage, Sova, Viper","Kayo, Sova, Jett, Viper, Sage, Kayo, Sova, Viper, Chamber, Sage"
2022,DRX,OpTic Gaming,DRX,Split,13,15,"Astra, Jett, Sage, Skye, Viper","Astra, Breach, Chamber, Kayo, Neon","Sage, Viper, Skye, Astra, Jett, Chamber, Kayo, Astra, Neon, Breach"
